make,model,mfg_year,emission_standard,fuel_delivery_system,fuel_tank_material,max_safe_ethanol_pct,source_reference
Maruti Suzuki,Swift,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Swift,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Swift,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Swift,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Baleno,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Baleno,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Baleno,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Baleno,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,WagonR,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,WagonR,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,WagonR,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,WagonR,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Alto,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Alto,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Alto,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Alto,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Dzire,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Dzire,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Dzire,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Dzire,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Ertiga,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Ertiga,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Ertiga,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Ertiga,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Vitara Brezza,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Vitara Brezza,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Vitara Brezza,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Vitara Brezza,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Celerio,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Celerio,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Celerio,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Celerio,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,S-Presso,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,S-Presso,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,S-Presso,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,S-Presso,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Ignis,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Ignis,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Ignis,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Ignis,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,XL6,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,XL6,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,XL6,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,XL6,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Fronx,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Fronx,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Fronx,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Fronx,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Jimny,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Jimny,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Jimny,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Jimny,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Grand Vitara,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Grand Vitara,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Grand Vitara,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Grand Vitara,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Maruti Suzuki,Eeco,2016,BS3,Carburettor,Steel,5,Maruti Suzuki India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Maruti Suzuki,Eeco,2019,BS4,Carburettor,Steel,10,Maruti Suzuki India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Maruti Suzuki,Eeco,2022,BS6,Fuel_Injection,Plastic,10,Maruti Suzuki India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Maruti Suzuki,Eeco,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Maruti Suzuki India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,i10,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,i10,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,i10,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,i10,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,i20,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,i20,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,i20,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,i20,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Creta,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Creta,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Creta,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
Hyundai,Creta,2024,BS6-Phase2,Fuel_Injection,Plastic,20,Hyundai India public compliance statement / ARAI BS6-Phase2 rollout schedule (aggregated pattern)
Hyundai,Venue,2016,BS3,Carburettor,Steel,5,Hyundai India public compliance statement / ARAI BS3 rollout schedule (aggregated pattern)
Hyundai,Venue,2019,BS4,Carburettor,Steel,10,Hyundai India public compliance statement / ARAI BS4 rollout schedule (aggregated pattern)
Hyundai,Venue,2022,BS6,Fuel_Injection,Plastic,10,Hyundai India public compliance statement / ARAI BS6 rollout schedule (aggregated pattern)
